feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.03174369535228824,0.05395710468292236,983.64856,418.22375,0.24964797496795654
vit,23,0.028903021300503123,0.12068985402584076,681.44025,383.45804,0.3851271867752075
vit,15,0.03009603873691067,0.11405758559703827,989.5686,525.34827,0.3995665907859802
vit,34,0.030369572149346106,0.11079108715057373,1227.2323,807.7063,0.6048629283905029
vit,18,0.030317606524483714,0.23727194964885712,1916.696,1094.3146,0.0499228835105896
vit,32,0.028394528933925963,0.055463775992393494,1657.3751,676.3271,0.13382399082183838
vit,47,0.027438778790403465,0.09089658409357071,1696.6289,698.72565,0.48898714780807495
vit,27,0.02745298946252295,0.06707024574279785,2097.6113,847.9229,0.3526611328125
vit,8,0.028127450297001755,0.14853590726852417,1836.4354,1127.9692,0.13627034425735474
vit,52,0.031026269115411554,0.14328764379024506,1682.5991,945.0616,-0.22257530689239502
