random_state,MAE,RMSE,R²,Coefficients,Intercept
42,1272.2257786351977,1698.6099393209377,0.034742169310445825,"[-85956994343.91254, -1904.0289635658264, 85956994589.97055, -23.295958518981934, -85956994309.68849, 14.023326635360718, 3396.9547141189687, -347.2796626435593, 2.2048861980438232]",459.05557881593586
23,1296.7169831991164,1756.2063350162587,0.1031024498960269,"[-86111687452.37944, -2573.402916908264, 86111687692.29214, 1.0285515785217285, -86111686987.78827, -21.68564486503601, 4002.6594914182206, -558.2831274364144, 14.08673620223999]",445.4070746310483
15,1478.6664421591197,2803.727430584017,0.0478675870990215,"[-73582107320.2387, -2065.0607538223267, 73582107555.4497, -12.682945609092712, -73582107045.01132, -0.8543097972869873, 3556.301442448399, -457.7581002432853, 7.102696657180786]",413.34677233442517
34,1278.1370671406976,1715.3623118735843,0.11235194145523164,"[-79478065149.52548, -2447.12845826149, 79478065393.58879, 2.335430860519409, -79478064670.57503, -25.00052309036255, 4152.589362792729, -593.5068640550599, 15.857307434082031]",423.8264359561051
18,1977.7580512564493,6871.946906592653,-0.01473083680197429,"[-77527095498.55249, -2332.0713787078857, 77527095784.84529, -44.607163071632385, -77527095781.80043, 41.68873143196106, 4016.2481163739576, -241.9434758136049, -5.890522718429565]",263.9529111125844
32,1345.4666567634183,1934.1282136262112,0.0834730416237549,"[-87192681024.76851, -2424.060715198517, 87192681271.84988, -17.51739263534546, -87192680805.62459, 4.6937782764434814, 3913.301133085508, -444.24410294089466, 5.554162979125977]",445.771973572108
47,1669.2499269622813,5711.478365633503,0.027378478007603624,"[-61934564514.499535, -1071.6797873973846, 61934564756.08404, -1.8426002264022827, -61934564493.41829, -15.866515159606934, 2561.4648474632413, -334.5366411707364, 11.472376108169556]",386.4598490890771
27,1309.6497689686398,2001.4237082918453,0.05155864969833013,"[-87489314921.98901, -2689.8405652046204, 87489315156.49873, 4.800466299057007, -87489314328.73811, -27.81940722465515, 4306.818505886011, -638.2227229708806, 16.550594806671143]",477.8980263326432
8,1430.2720363728881,1869.1580815871678,-0.0490450562322331,"[-98901036203.59302, -2204.5053610801697, 98901036445.70978, -8.31915545463562, -98901035906.66023, -7.271102428436279, 3367.992292966577, -458.81858032476157, 8.94631814956665]",440.1957478715758
52,1405.7504636762592,2042.5192649219173,0.08706956330647198,"[-86888253281.76941, -3352.868748664856, 86888253517.82077, 33.234832525253296, -86888252148.15169, -73.62537980079651, 5397.149139955, -958.7879034066573, 33.74365186691284]",432.24473418032517
