alpha,random_state,MAE,RMSE,R²,Coefficients,Intercept
0.1,42,1466.954203263074,2108.6736679148744,0.06302062240285933,"[297.3950326833334, -139.3337202603268, 292.59874416885606]",1829.684865929386
0.1,23,1740.910658216635,6259.6197375894635,0.00010214852203926927,"[545.8084259273409, -116.17010381609158, 105.92077073004802]",1736.2612154279768
0.1,15,1499.5512174354026,2527.9379910097073,0.03786507384404858,"[442.07369350341236, -106.39636531664493, 174.39392345799675]",1804.216566401205
0.1,34,1725.297922693405,5360.459754411644,0.013371037001422725,"[148.6158466681528, -214.5571335794317, 426.43874287378713]",1718.0029920006614
0.1,18,1745.094847827109,5157.174812969501,0.003269976834039179,"[381.63782698039387, -184.56397091932442, 253.6014629212749]",1724.926688482136
0.1,32,1534.134632711021,3505.1145238447793,-0.0032191921705466697,"[291.0908051181818, -247.71006265276762, 354.3445500048106]",1816.6025069731688
0.1,47,1685.2079161970387,4638.18082975524,0.030803158614645554,"[359.3550991010166, -99.73309325075607, 144.47018367909635]",1730.2714612773168
0.1,27,1853.1387213540575,6610.632357501068,0.01058383807983898,"[417.1109461983964, -123.42629592357794, 138.64929076449621]",1714.2764908918948
0.1,8,1422.1674116495547,2198.7314675288453,0.0512888648764217,"[127.23313267805585, -242.45196979836828, 461.5169130597687]",1832.3513418364582
0.1,52,1361.8295947753275,2084.7177711292575,0.06531854320569341,"[316.81336206761864, -144.51294764809742, 271.965022685084]",1821.6292713991895
0.5,42,1466.9602875198289,2108.6762277385615,0.06301834750988033,"[297.6281896088656, -139.1904638196053, 292.2871004469333]",1829.6847350409307
0.5,23,1740.916807525935,6259.6030873984655,0.00010746784454163105,"[543.4332417216162, -117.03542328347758, 108.30352165231992]",1736.2632128960136
0.5,15,1499.5492806014815,2527.9275427168714,0.037873027082393484,"[440.9154217235766, -106.79929327924175, 175.50112952015957]",1804.213123321663
0.5,34,1725.269455794325,5360.447221406357,0.013375650565229047,"[150.52769492900072, -213.7598627709226, 424.4064829541117]",1718.0027262269543
0.5,18,1745.098558716896,5157.170434657422,0.003271669230905605,"[381.3203717607348, -184.6230182006858, 253.84439041684985]",1724.9244137003436
0.5,32,1534.1389941137304,3505.099707569081,-0.003210710883775336,"[291.98951168735636, -247.2848940183084, 353.33188546350783]",1816.6015926180644
0.5,47,1685.2403424843278,4638.184605530899,0.03080158063764693,"[358.4421529759941, -100.04958867768772, 145.3488903778443]",1730.2765029063992
0.5,27,1853.1461785020215,6610.630273962908,0.010584461767829456,"[415.7789975915665, -123.88732454447428, 139.94849515129914]",1714.2831092590461
0.5,8,1422.1450540014514,2198.6884491389897,0.0513259877600738,"[129.30575238486605, -241.5601015940604, 459.33030480804655]",1832.3537124802335
0.5,52,1361.837763626786,2084.720544262924,0.06531605653975248,"[316.879065939573, -144.43433429535176, 271.82400638846275]",1821.629689818347
1.0,42,1466.9679412886965,2108.679459307764,0.06301547563857879,"[297.91160883790474, -139.0146448514901, 291.9057883065835]",1829.684559318428
1.0,23,1740.9243372567032,6259.582794920745,0.00011395076806230975,"[540.5497722854428, -118.08368048217862, 111.19314624258311]",1736.2655803164591
1.0,15,1499.5470252791595,2527.9147609880943,0.03788275648699013,"[439.5017179517251, -107.28951673404181, 176.850228690226]",1804.2088704354865
1.0,34,1725.2351334168611,5360.4320597683445,0.01338123174883854,"[152.85489277348734, -212.7877212518914, 421.9304261641062]",1718.0023685805315
1.0,18,1745.103049914747,5157.164972260654,0.00327378066887285,"[380.9322479244206, -184.69347505784307, 254.13918991009035]",1724.9215733511367
1.0,32,1534.144557184709,3505.0814041533185,-0.0032002335014880146,"[293.08082352977226, -246.76612979355653, 352.0992709674829]",1816.6004968140608
1.0,47,1685.2801585319608,4638.189416251877,0.030799570133114185,"[357.32862409670275, -100.43424552712473, 146.41879787294883]",1730.2827075927898
1.0,27,1853.1555659116057,6610.6278199765175,0.01058519634583921,"[414.15889774201975, -124.44629346909502, 141.52642079195252]",1714.2911922982862
1.0,8,1422.118037880483,2198.6360629161627,0.05137119367013909,"[131.83439092882088, -240.47033770572654, 456.660382035673]",1832.3566300537343
1.0,52,1361.8480095261045,2084.7240203973997,0.06531293948907824,"[316.95778632024377, -144.33746809044902, 271.6512739132203]",1821.6302052447477
2.0,42,1466.9834021060205,2108.6860234303053,0.06300964213858118,"[298.45297736137525, -138.67332877598565, 291.1693221304848]",1829.6841694698385
2.0,23,1740.9389051413789,6259.543826287993,0.0001264001827400163,"[535.0507296456054, -120.07558787688524, 116.69415664770294]",1736.269909858641
2.0,15,1499.5430390404863,2527.8900767565224,0.03790154589338468,"[436.7823617353191, -108.2274377810618, 179.4379353386516]",1804.2005261122156
2.0,34,1725.170470684518,5360.403323596028,0.013391809840539226,"[157.31156871021435, -210.92064267321328, 417.1812648676468]",1718.0015730798623
2.0,18,1745.1115672429453,5157.154081187018,0.0032779905040229984,"[380.1834476229378, -184.82381333809988, 254.7008269250601]",1724.9159026996556
2.0,32,1534.156033363498,3505.045478731059,-0.003179668953538828,"[295.1624700796911, -245.76858390784827, 349.73862910877796]",1816.5984535871205
2.0,47,1685.3575245275524,4638.199323688328,0.03079542959418402,"[355.1889692990689, -101.16891564697623, 148.46861524376138]",1730.2948091352018
2.0,27,1853.1745475018586,6610.623381673729,0.01058652490982015,"[411.0596449298749, -125.50979947887005, 144.5374194505706]",1714.3067612711427
2.0,8,1422.0669583492363,2198.5356799145384,0.05145781467553767,"[136.69455664418516, -238.37034764337642, 451.52146355584426]",1832.3623200962477
2.0,52,1361.8686108354032,2084.731003742802,0.06530667750576069,"[317.1044515151449, -144.14816688070016, 271.3169949264321]",1821.6312120756902
5.0,42,1467.0308730857662,2108.7064404722482,0.06299149750838184,"[299.8948951701148, -137.7232904723125, 289.14710612634406]",1829.6827257193404
5.0,23,1740.9791875359306,6259.437968926459,0.00016021832958890148,"[520.4180218512031, -125.32341950258397, 131.26089534788042]",1736.2800802898116
5.0,15,1499.5348090514417,2527.8222391205168,0.0379531823229875,"[429.39312744618115, -110.73869757061826, 186.41493904425138]",1804.176644271132
5.0,34,1725.0046573725608,5360.328252477152,0.013419444052974128,"[169.28194778109304, -205.86601994555326, 404.3705462667047]",1717.9986204244094
5.0,18,1745.1338342155027,5157.121657163688,0.003290523632018316,"[378.1311922553062, -185.14013427329527, 256.18804418956717]",1724.8989648271117
5.0,32,1534.192916236515,3504.9424746140944,-0.003120708167859254,"[300.69714394700287, -243.05730665714762, 343.3924582140831]",1816.5933669218787
5.0,47,1685.57700890065,4638.231048976298,0.030782170828395183,"[349.38991433007243, -103.12729281778272, 153.97981968672792]",1730.3289279356832
5.0,27,1853.2329309607055,6610.613310873766,0.01058953950527497,"[402.75000589625324, -128.31881749352266, 152.5549963826811]",1714.3492809010988
5.0,8,1421.9348213139422,2198.265762112094,0.051690708513026595,"[149.8658526601586, -232.63910141675197, 437.5412656303667]",1832.378352243936
5.0,52,1361.9311811014006,2084.752180612184,0.06528768802567797,"[317.46803438857603, -143.61177318248522, 270.3935592303231]",1821.6340620493138
10.0,42,1467.112885147045,2108.7424434224745,0.0629595012496168,"[301.8059069959013, -136.34002069320698, 286.28285391207834]",1829.679581660777
10.0,23,1741.1278255337006,6259.289129281407,0.00020776701675451203,"[500.8325059977961, -132.19561984677932, 150.551953168323]",1736.2897863248381
10.0,15,1499.5310582329716,2527.7256354070532,0.038026712429512055,"[419.1358661118281, -114.11486198669135, 195.93937446299336]",1804.1399365763075
10.0,34,1724.802963721413,5360.232229016474,0.013454790407238404,"[185.51959279362322, -198.89221087903869, 386.8312442272453]",1717.9922070549108
10.0,18,1745.1622687818162,5157.068342657326,0.0033111315612370795,"[375.2251740255517, -185.47007388536298, 258.1434704745709]",1724.8709490581675
10.0,32,1534.2607806596814,3504.783258232887,-0.0030295742205039833,"[308.058295531156, -239.2773666132022, 334.7462440310598]",1816.5876213698727
10.0,47,1685.9031383015972,4638.289132459816,0.03075789609964663,"[341.37492868703094, -105.73787518934272, 161.46662136277698]",1730.3799593699027
10.0,27,1853.3339258827234,6610.604771719508,0.010592095613972563,"[391.478123270318, -132.00594482686856, 163.26937564308992]",1714.4092171867298
10.0,8,1421.7715030399079,2197.899498027171,0.052006687322798895,"[168.0142140479268, -224.62267908330972, 418.1190339441546]",1832.4022672015979
10.0,52,1362.037442968624,2084.788117628881,0.06525546255370673,"[317.87074029562484, -142.80211638269165, 269.06617778612457]",1821.638357380827
