feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.024223501113128487,0.055292874574661255,856.0397,435.814,0.43170613050460815
vit,23,0.029809051524319483,0.09600286185741425,727.768,415.78018,0.29868102073669434
vit,15,0.02555004134774208,0.1394181251525879,1166.2802,595.548,0.1659756302833557
vit,34,0.027492348574664493,0.12634249031543732,1793.2051,937.14594,0.15636581182479858
vit,18,0.02418494263653597,0.15260814130306244,1811.6147,1080.9227,0.15124160051345825
vit,32,0.029049522193701008,0.10294413566589355,1734.5521,858.1068,0.0512775182723999
vit,47,0.026554802058755145,0.09758739173412323,1931.6609,972.42114,0.3376006484031677
vit,27,0.025734505267954445,0.10902981460094452,2022.5057,874.9213,0.398187518119812
vit,8,0.02700426450777888,0.11575807631015778,1451.019,919.16656,0.46077167987823486
vit,52,0.025920977119637676,0.1356067657470703,1479.9972,791.95825,0.054119765758514404
