feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.0489829176587514,0.05196213349699974,1015.57025,482.20593,0.20015639066696167
vgg,42,0.04582841856950554,0.05841698497533798,1100.8013,514.0281,0.06027019023895264
shuff,42,0.04806684145556409,0.07210834324359894,1090.591,524.3552,0.07762199640274048
resnet,42,0.05159540278202482,0.07383298873901367,1157.1932,521.8104,-0.038477182388305664
vit,23,0.03935309854879783,0.09637685865163803,668.3542,326.85074,0.40851593017578125
vgg,23,0.04776850639813293,0.12242618948221207,603.7368,347.7869,0.517358124256134
shuff,23,0.04361537275887326,0.08826426416635513,738.5299,397.6422,0.2777860760688782
resnet,23,0.047784953558230925,0.06784220784902573,590.10333,358.50882,0.5389098525047302
vit,15,0.03877864445990181,0.1625809371471405,1248.817,697.55554,0.04375177621841431
vgg,15,0.04939260110807902,0.12323985993862152,1035.9393,562.4637,0.3419761061668396
shuff,15,0.046533752706169426,0.10734903067350388,1110.2252,596.6348,0.24422037601470947
resnet,15,0.04723337638100976,0.14995959401130676,1163.5288,665.1481,0.16990596055984497
vit,34,0.03688233613309281,0.15887868404388428,2035.6854,991.4716,-0.08721542358398438
vgg,34,0.052159270528930324,0.1588279753923416,1987.3314,1011.89545,-0.036179184913635254
shuff,34,0.04455449861606401,0.168610617518425,1997.7823,1002.0883,-0.04710590839385986
resnet,34,0.05083814779258784,0.10677587985992432,1821.8839,819.0705,0.1291654109954834
vit,18,0.04086450848927375,0.13923874497413635,1752.7474,996.5849,0.20550519227981567
vgg,18,0.053298811659793166,0.17376291751861572,1912.0536,1117.2284,0.054519712924957275
shuff,18,0.045873120632948794,0.16058234870433807,1874.6172,1143.1866,0.09118062257766724
resnet,18,0.04794615681384369,0.14368018507957458,1838.2455,1084.9525,0.12610477209091187
vit,32,0.041574963500541434,0.1094040796160698,1807.8739,885.2088,-0.030625224113464355
vgg,32,0.04624111124384689,0.16170385479927063,1942.3983,890.9551,-0.18971002101898193
shuff,32,0.045784392821196035,0.12333458662033081,1887.9706,877.6392,-0.123970627784729
resnet,32,0.05271308167286999,0.13682006299495697,1875.6324,967.7776,-0.10932803153991699
vit,47,0.03692734279218739,0.16244931519031525,2272.0503,1111.2703,0.08358120918273926
vgg,47,0.04893651258193547,0.12742039561271667,2214.0828,1116.8619,0.12974649667739868
shuff,47,0.04390580341576652,0.11950302124023438,2072.2524,1039.6887,0.2376692295074463
resnet,47,0.04816287696965272,0.15760283172130585,2193.1982,1093.3458,0.1460864543914795
vit,27,0.03907157559270248,0.12056490778923035,2498.7073,1005.3007,0.08142971992492676
vgg,27,0.05138842994776,0.18554167449474335,2645.3518,1105.9485,-0.029552578926086426
shuff,27,0.04679731820224618,0.15849697589874268,2596.2654,1064.7887,0.008301198482513428
resnet,27,0.04956413362291856,0.15856721997261047,2404.0024,1036.6278,0.14974051713943481
vit,8,0.03820938827267558,0.1770797073841095,1932.7534,1272.8678,0.04329198598861694
vgg,8,0.05194725911261627,0.16092102229595184,1612.1719,1133.0339,0.3343450427055359
shuff,8,0.04501121527211772,0.17001843452453613,1661.7323,1147.2177,0.29278963804244995
resnet,8,0.04934020050240485,0.165614515542984,1824.7102,1167.1522,0.14726459980010986
vit,52,0.03829443493847689,0.1657617837190628,1608.3855,884.8834,-0.11710667610168457
vgg,52,0.04806098491502291,0.10910584032535553,1374.7375,790.2686,0.18388020992279053
shuff,52,0.04153189509009349,0.11679458618164062,1400.1384,751.0375,0.1534428596496582
resnet,52,0.05153068646953251,0.11917790025472641,1415.9485,803.7615,0.13421660661697388
