feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.03266498784690711,0.056906864047050476,975.95917,425.66248,0.2613334655761719
vgg,42,0.04370245890448326,0.07449895143508911,932.9566,406.93243,0.324993371963501
shuff,42,0.04295176359555559,0.05952877551317215,990.94763,480.33057,0.23847085237503052
resnet,42,0.0482627472413179,0.05301017314195633,913.726,424.6549,0.35253381729125977
vit,23,0.03571524488882026,0.09912712126970291,649.3033,352.7651,0.44175493717193604
vgg,23,0.04500847071079918,0.0898808017373085,625.6045,348.436,0.48176175355911255
shuff,23,0.04150565289660712,0.0617341473698616,496.87244,275.12683,0.6730965375900269
resnet,23,0.04541825895535573,0.09478480368852615,511.80292,276.34808,0.6531552076339722
vit,15,0.03673553407109904,0.12017375975847244,1206.2568,655.08765,0.10781985521316528
vgg,15,0.05116109459439694,0.07626020163297653,956.81744,512.55316,0.43865329027175903
shuff,15,0.04579085155182671,0.11146342009305954,1082.9501,605.15326,0.2808991074562073
resnet,15,0.04126996358318004,0.117204450070858,1030.0996,557.4011,0.34937387704849243
vit,34,0.0331250392003448,0.14345906674861908,1965.2861,916.4973,-0.013318300247192383
vgg,34,0.043631846109202774,0.14023864269256592,1755.3678,926.5389,0.19159221649169922
shuff,34,0.04643335917185903,0.1079903244972229,1845.9961,871.539,0.10596239566802979
resnet,34,0.04419816423269267,0.13448458909988403,1909.6362,847.4296,0.04325646162033081
vit,18,0.03541707274937937,0.20902618765830994,1977.0245,1185.8091,-0.0108262300491333
vgg,18,0.04635556193812995,0.20048688352108002,1869.214,1078.7451,0.0964120626449585
shuff,18,0.03966022666344766,0.27417176961898804,2029.4713,1229.5282,-0.06516826152801514
resnet,18,0.04321489455332743,0.13080322742462158,1686.2185,970.9882,0.26467365026474
vit,32,0.03699830140143249,0.09958998113870621,1781.3323,882.90924,-0.0005859136581420898
vgg,32,0.04298505818207181,0.2052370011806488,2025.2279,1050.9641,-0.2933387756347656
shuff,32,0.04160419525664375,0.16868208348751068,1919.9999,958.38086,-0.1624302864074707
resnet,32,0.04314204011777927,0.12546132504940033,1829.5281,942.0334,-0.05546224117279053
vit,47,0.0336095839704543,0.07271923869848251,1943.1317,924.4506,0.3297101855278015
vgg,47,0.04255504080164718,0.07451541721820831,1919.7883,899.9604,0.3457183241844177
shuff,47,0.04235478113259619,0.07646097242832184,2026.8478,938.0555,0.270709753036499
resnet,47,0.04336385341090172,0.06184433400630951,1816.6007,863.7262,0.41416263580322266
vit,27,0.030396726064754454,0.07166261970996857,2266.415,878.8027,0.24428057670593262
vgg,27,0.047046921948317444,0.08906494826078415,2010.511,895.17847,0.4053046703338623
shuff,27,0.0425054162987688,0.11359088122844696,2511.1365,1036.9597,0.07226860523223877
resnet,27,0.0436508704738393,0.11629625409841537,2245.7896,968.4914,0.2579728364944458
vit,8,0.03254500636573655,0.1556173861026764,1810.7157,1178.3079,0.16029447317123413
vgg,8,0.04560487460804688,0.18055038154125214,2086.4226,1369.8762,-0.11488759517669678
shuff,8,0.042292349102253414,0.16541007161140442,1711.3597,1175.0819,0.24991732835769653
resnet,8,0.04609677815058613,0.20872311294078827,1852.6775,1340.4376,0.12092459201812744
vit,52,0.033859499731884915,0.15065038204193115,1588.1338,909.8549,-0.08915197849273682
vgg,52,0.04596777776904527,0.1077037900686264,1387.8374,765.8074,0.16825246810913086
shuff,52,0.0393092043313642,0.11396928876638412,1476.637,843.3891,0.05841010808944702
resnet,52,0.04394434912483556,0.11962725222110748,1484.1771,852.6225,0.04876941442489624
