feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.026279769803553437,0.0602942518889904,902.44196,425.26395,0.3684267997741699
vgg,42,0.03196453825874223,0.05515989661216736,898.95074,437.0705,0.37330394983291626
shuff,42,0.03156505368005066,0.05766148492693901,938.06726,473.49222,0.31757789850234985
resnet,42,0.03219385304990779,0.06720184534788132,887.75037,484.15448,0.3888232111930847
vit,23,0.028731264962950243,0.1000179871916771,573.1522,344.73978,0.5650196075439453
vgg,23,0.02949913526314069,0.09100507944822311,494.36823,317.89682,0.676383376121521
shuff,23,0.034441101013187106,0.08972082287073135,524.9654,352.522,0.6350855827331543
resnet,23,0.033550793579462265,0.10374218970537186,456.02246,338.81497,0.7246391773223877
vit,15,0.029139822342091722,0.09922214597463608,1027.3066,591.65485,0.3528972864151001
vgg,15,0.03294421304326031,0.10141409933567047,984.51373,560.29926,0.4056851863861084
shuff,15,0.03495886388816227,0.0922473594546318,1080.8267,573.19507,0.28371626138687134
resnet,15,0.03157270099439454,0.11546508222818375,965.459,580.9473,0.4284678101539612
vit,34,0.030722609993831886,0.09857291728258133,1593.0039,795.71643,0.33422428369522095
vgg,34,0.03284292288371542,0.09221874922513962,1545.5542,929.2232,0.3732956647872925
shuff,34,0.02865939325966888,0.0679384097456932,1447.9935,820.33374,0.44991791248321533
resnet,34,0.03142524507877796,0.08269087225198746,1398.8278,836.8152,0.486639142036438
vit,18,0.02531319994541163,0.18125346302986145,1664.5637,1033.5397,0.28343892097473145
vgg,18,0.03623495822425925,0.16510829329490662,1685.9459,1052.1393,0.2649115324020386
shuff,18,0.03571965894961994,0.14478124678134918,1830.4806,1089.0187,0.1334720253944397
resnet,18,0.0365154246008967,0.1555824726819992,1867.0089,1186.5763,0.09854263067245483
vit,32,0.025289851088166018,0.0760587751865387,1617.1917,777.60724,0.17531609535217285
vgg,32,0.029940302361962327,0.08523088693618774,1712.2435,847.70605,0.0755242109298706
shuff,32,0.03089666174481148,0.08411741256713867,1712.5001,834.94183,0.07524698972702026
resnet,32,0.0337658207091755,0.09676417708396912,1747.9478,884.9922,0.03656721115112305
vit,47,0.028461723171627325,0.08058007061481476,1664.0996,809.4402,0.5083944797515869
vgg,47,0.030929941310106502,0.11865254491567612,1866.9269,1017.82056,0.38125360012054443
shuff,47,0.033319734472568745,0.09500447660684586,1820.1917,984.6197,0.41184425354003906
resnet,47,0.03303188465631689,0.09680068492889404,1963.6053,1016.4736,0.31551092863082886
vit,27,0.0259473058866752,0.08081253618001938,1081.0184,656.4695,0.8280714750289917
vgg,27,0.0315973296981051,0.055986009538173676,1237.628,674.0012,0.7746477127075195
shuff,27,0.03359216787126842,0.07281365245580673,1801.2007,827.2432,0.5226840972900391
resnet,27,0.03518026199322159,0.07406222075223923,1724.0029,816.212,0.5627219676971436
vit,8,0.028206883869639855,0.14014732837677002,1696.3307,1179.0804,0.263033926486969
vgg,8,0.030894136286133123,0.13169245421886444,1565.6124,1022.10706,0.37223803997039795
shuff,8,0.02981391493539784,0.1375943422317505,1611.8767,1076.7509,0.33458876609802246
resnet,8,0.03406257352158839,0.19214986264705658,1513.5543,1084.8528,0.413291335105896
vit,52,0.024851870886007286,0.11623909324407578,1541.1572,847.4002,-0.02567148208618164
vgg,52,0.0363646170045515,0.12634682655334473,1517.9749,791.1391,0.004953265190124512
shuff,52,0.03071168643760308,0.10782090574502945,1441.764,794.00934,0.102358877658844
resnet,52,0.03321975619149691,0.13753093779087067,1632.5186,910.26215,-0.15088140964508057
