feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.03124637741588646,0.06014174968004227,981.57874,446.40118,0.2528024911880493
vgg,42,0.03383540793649619,0.0697098895907402,1048.7086,507.64032,0.1471063494682312
shuff,42,0.03389109400123303,0.10103664547204971,1067.9701,499.5641,0.11548876762390137
resnet,42,0.033363938091484004,0.061801619827747345,964.5903,525.18085,0.2784426212310791
vit,23,0.032579973844286486,0.1270630657672882,681.4465,394.97415,0.3851160407066345
vgg,23,0.03678219098577183,0.13662242889404297,675.9717,425.39374,0.3949563503265381
shuff,23,0.03384474719811101,0.11234035342931747,739.5,413.76062,0.27588748931884766
resnet,23,0.03612129839950174,0.11940647661685944,588.3525,376.31848,0.5416419506072998
vit,15,0.03720397836979801,0.10538759082555771,991.00635,606.1862,0.3978205919265747
vgg,15,0.03607595813482945,0.0904349684715271,997.1521,520.25256,0.39032864570617676
shuff,15,0.03566912868322589,0.10657717287540436,886.4448,499.07385,0.5181893110275269
resnet,15,0.03886008624186393,0.13554644584655762,1012.3397,539.41156,0.37161535024642944
vit,34,0.03383708650222251,0.11671132594347,1779.8169,907.2656,0.16891604661941528
vgg,34,0.03840924495518976,0.10313680022954941,1635.7003,832.965,0.2980571985244751
shuff,34,0.03395905391987187,0.12597110867500305,1698.2596,933.1449,0.24333715438842773
resnet,34,0.035749812279424836,0.11688228696584702,1694.417,872.8998,0.2467573881149292
vit,18,0.0331700496258931,0.14195793867111206,1718.603,1092.2576,0.23615801334381104
vgg,18,0.03803696299167299,0.13974185287952423,1731.6755,1114.5936,0.22449350357055664
shuff,18,0.03486097781039075,0.10543329268693924,1538.6956,968.3344,0.3877091407775879
resnet,18,0.036252676339521596,0.15143930912017822,1715.6139,1072.7355,0.23881280422210693
vit,32,0.03398704782649738,0.08919916301965714,1767.568,871.9842,0.014817297458648682
vgg,32,0.03682383858902349,0.13729119300842285,1879.2473,965.2805,-0.11360800266265869
shuff,32,0.03411810431444184,0.06378265470266342,1641.8832,746.2476,0.14994102716445923
resnet,32,0.04062966839796272,0.08910942077636719,1757.6334,823.148,0.02586054801940918
vit,47,0.029470802022360305,0.14457491040229797,2099.113,1050.4785,0.21777844429016113
vgg,47,0.038115589960064894,0.13253295421600342,1992.946,973.0555,0.294902503490448
shuff,47,0.03873777219384195,0.1330406814813614,2256.982,1063.1575,0.09569644927978516
resnet,47,0.03527055494144257,0.12712281942367554,2017.1318,985.9224,0.27768492698669434
vit,27,0.0312273850935489,0.09954661130905151,2266.5435,853.90546,0.24419498443603516
vgg,27,0.039734048038227124,0.1347598135471344,2485.979,1019.4316,0.0907641053199768
shuff,27,0.033811637648067425,0.10440491139888763,2311.2068,900.1601,0.21411454677581787
resnet,27,0.03776899369821145,0.16134890913963318,2502.8103,1051.1077,0.07841044664382935
vit,8,0.031441553765101764,0.16559681296348572,1871.2378,1197.9182,0.10322302579879761
vgg,8,0.036723607091119936,0.16212475299835205,1824.0482,1278.4104,0.14788329601287842
shuff,8,0.03502662482964729,0.15358348190784454,1783.4797,1216.9218,0.1853654384613037
resnet,8,0.037543304854554586,0.15666459500789642,1767.4767,1213.5782,0.19991916418075562
vit,52,0.02839487400694886,0.13016323745250702,1463.6444,791.7451,0.07490682601928711
vgg,52,0.034542169222954666,0.09949996322393417,1162.0479,624.43463,0.4168740510940552
shuff,52,0.03616896711468257,0.13161619007587433,1254.1433,709.6227,0.3207828402519226
resnet,52,0.03895894978641366,0.08501485735177994,1329.6931,687.43005,0.2364857792854309
