feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.025080124,0.044174753,836.24493,396.3126,0.457684338
vit,23,0.028444019,0.102197692,604.22314,347.85306,0.516580224
vit,15,0.025265,0.093055606,1004.4406,495.68115,0.381383479
vit,34,0.026694011,0.123056524,1680.8007,921.64594,0.258814871
vit,18,0.026723169,0.194243863,1680.0442,952.1147,0.270048857
vit,32,0.026776396,0.03737738,1012.7324,514.26654,0.676589608
vit,47,0.025291524,0.071953654,1547.9569,734.58923,0.574621201
vit,27,0.026799919,0.083566353,1340.4304,915.40063,0.194114864
vit,8,0.028025173,0.134193942,1639.2147,1048.5333,0.31182611
vit,52,0.025860791,0.08339157,1242.1401,734.0789,0.333721995
vgg,42,0.033335316,0.037552379,764.8645,395.48734,0.546315312
vgg,23,0.032548556,0.090462625,419.07407,298.2313,0.767452717
vgg,15,0.030387344,0.103295311,917.4327,469.3817,0.483914793
vgg,34,0.031393305,0.120098203,1610.819,933.0605,0.319249868
vgg,18,0.035057511,0.201211631,1815.0508,1145.6552,0.148018897
vgg,32,0.031742521,0.064588144,1170.8586,659.04694,0.567711711
vgg,47,0.035991321,0.081889778,1826.9019,831.39764,0.40749979
vgg,27,0.032403149,0.069753468,2192.3708,857.15625,0.292852998
vgg,8,0.033166243,0.115179881,1726.5079,1096.6583,0.236579835
vgg,52,0.031359888,0.118952297,1336.9478,788.7789,0.228131711
shuff,42,0.0312182,0.02981559,771.9214,351.59702,0.537904978
shuff,23,0.028898465,0.093021244,649.41675,408.97702,0.441559792
shuff,15,0.031582203,0.10052301,876.59326,456.55508,0.528839111
shuff,34,0.032823069,0.138118401,1801.8484,965.5346,0.148213446
shuff,18,0.031394067,0.171812996,1711.4542,1023.7153,0.242499471
shuff,32,0.032640529,0.080317177,1317.6406,720.561,0.452532291
shuff,47,0.02900841,0.097139932,1829.4698,899.6902,0.405832827
shuff,27,0.030198207,0.076834776,2295.7654,894.50256,0.224580586
shuff,8,0.032618502,0.138977766,1698.8378,1045.8041,0.260853887
shuff,52,0.030612003,0.065791979,966.25275,586.35767,0.596822977
resnet,42,0.0298794,0.03231794,718.5382,351.35242,0.599608481
resnet,23,0.030956555,0.079553172,834.48737,438.61014,0.077918649
resnet,15,0.032293861,0.112844698,942.66,522.0229,0.45514226
resnet,34,0.031759741,0.114390224,1736.1564,909.6326,0.209190428
resnet,18,0.032077532,0.189155236,1626.5027,918.4929,0.315833271
resnet,32,0.030497505,0.060370501,1359.545,688.6645,0.417156756
resnet,47,0.031660459,0.093843676,1812.2827,843.0215,0.416944325
resnet,27,0.030985044,0.090540171,2339.1484,971.01013,0.194997489
resnet,8,0.031497052,0.105115592,1598.9597,949.7523,0.345210731
resnet,52,0.032665189,0.084323727,1171.9164,697.53394,0.406927705
