feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
inv3,42,0.03733153991799109,0.08475647121667862,1047.0066,512.0046,0.14987266063690186
inv3,23,0.03807819632617808,0.08482934534549713,619.1937,348.73828,0.4923284649848938
inv3,15,0.03747763582479559,0.11883565038442612,1093.9149,616.7898,0.26626354455947876
inv3,34,0.03891585520974619,0.09326421469449997,1724.1864,777.9851,0.22005730867385864
inv3,18,0.036171240162646355,0.2927408218383789,2077.706,1258.452,-0.1164020299911499
inv3,32,0.03844789506157459,0.14806883037090302,1959.302,949.51404,-0.21050691604614258
inv3,47,0.03806581278888999,0.1016550064086914,1916.5851,993.1697,0.347899854183197
inv3,27,0.0358390382201193,0.07975306361913681,2158.7761,891.0129,0.31435883045196533
inv3,8,0.0373296430180086,0.1696850210428238,1857.4019,1190.7609,0.11643552780151367
inv3,52,0.03677857142374002,0.1135939210653305,1475.0956,767.4113,0.06037473678588867
