feature_type,seed,final_train_loss,final_val_loss,RMSE,MAE,R2
vit,42,0.02335975669722311,0.0327518954873085,825.0214,364.8834,0.47214382886886597
vgg,42,0.02507167348627886,0.023574965074658394,626.79767,354.68448,0.6953228712081909
shuff,42,0.025280154701219408,0.020579710602760315,605.45264,325.10547,0.715720534324646
resnet,42,0.02640347535727103,0.029757259413599968,729.5084,369.9005,0.5872893333435059
vit,23,0.023998343486949444,0.09650752693414688,763.1088,425.2665,0.2289143204689026
vgg,23,0.023208922979252113,0.12861290574073792,526.0604,387.81964,0.6335616111755371
shuff,23,0.02447097200358331,0.12350098043680191,642.8197,417.86252,0.4528478980064392
resnet,23,0.02514754726789878,0.13232673704624176,841.5401,449.95114,0.06226670742034912
vit,15,0.021491787988095652,0.1463627964258194,1117.6011,593.4508,0.23414480686187744
vgg,15,0.026375020639782233,0.15164123475551605,995.95233,570.3205,0.3917948007583618
shuff,15,0.025091619493223687,0.1416320651769638,1053.4711,575.70404,0.3195154666900635
resnet,15,0.02682360266138067,0.17265355587005615,1165.171,666.7865,0.16756117343902588
vit,34,0.024974568230726003,0.13699014484882355,1897.3761,959.9519,0.05550187826156616
vgg,34,0.021422494360645392,0.12520195543766022,1699.3109,1006.5932,0.24239999055862427
shuff,34,0.02668431490783204,0.13774847984313965,1846.6913,940.80896,0.1052888035774231
resnet,34,0.02745970054898363,0.1348520815372467,1885.8073,976.6358,0.06698447465896606
vit,18,0.021376544664550443,0.16450971364974976,1521.3485,940.5338,0.40143710374832153
vgg,18,0.025683263759257384,0.14547200500965118,1587.097,1048.3182,0.3485826253890991
shuff,18,0.02299638639648426,0.1486123949289322,1546.5391,939.40845,0.38145095109939575
resnet,18,0.02660031419103317,0.14596319198608398,1662.6666,1095.0345,0.2850712537765503
vit,32,0.021770944866878333,0.0889335349202156,1461.7806,795.4111,0.32620328664779663
vgg,32,0.027336250743648625,0.07325688004493713,1582.6948,833.42456,0.21012407541275024
shuff,32,0.028158002239729158,0.08693838119506836,1629.4932,871.7862,0.1627221703529358
resnet,32,0.0262173468463164,0.08174407482147217,1668.7645,858.7353,0.12187850475311279
vit,47,0.02404982611386047,0.09028453379869461,2028.5406,988.75464,0.2694910764694214
vgg,47,0.028476012935844792,0.10016252100467682,2463.5369,1106.9884,-0.07739830017089844
shuff,47,0.023376301534707156,0.09758436679840088,1593.831,776.30396,0.5490351915359497
resnet,47,0.027487330090659318,0.0996924340724945,2312.2046,1060.8702,0.05090296268463135
vit,27,0.022611726847225132,0.10483738780021667,2280.1296,909.2094,0.23510688543319702
vgg,27,0.022523890645629135,0.1056501716375351,1977.0424,928.5318,0.4249393939971924
shuff,27,0.024560696944512055,0.13903763890266418,2270.4287,1018.6549,0.24160152673721313
resnet,27,0.028623646567704268,0.10282039642333984,2114.4875,898.28107,0.34220296144485474
vit,8,0.02346563518808856,0.13874049484729767,1854.1342,1187.6934,0.1195417046546936
vgg,8,0.026050039414405604,0.16958250105381012,1737.7844,1128.2577,0.22657489776611328
shuff,8,0.02606943106659539,0.17833463847637177,1913.7527,1224.5457,0.06201016902923584
resnet,8,0.026140776114678955,0.20191702246665955,1869.4778,1242.9403,0.10490924119949341
vit,52,0.021689865161865454,0.1465211659669876,1537.4956,822.1142,-0.020803332328796387
vgg,52,0.028165682011436582,0.16152046620845795,1541.6909,856.2344,-0.026381731033325195
shuff,52,0.024820244327379636,0.12610821425914764,1421.1833,789.46466,0.1278030276298523
resnet,52,0.026748347636415155,0.13911032676696777,1448.6409,848.8262,0.09377551078796387
